Station,Groundwater(EL.m),Baseflow(CMS),Precip(mm)
SW-GW-2,68.4157,0.5344 ,0
SW-GW-2,68.409,0.5225 ,0
SW-GW-2,68.4023,0.5114 ,0
SW-GW-2,68.3958,0.5014 ,0
SW-GW-2,68.3887,0.4927 ,0
SW-GW-2,68.3817,0.4852 ,0
SW-GW-2,68.3753,0.4791 ,0
SW-GW-2,68.369,0.4739 ,0
SW-GW-2,68.3621,0.4695 ,0
SW-GW-2,68.3558,0.4659 ,0
SW-GW-2,68.3508,0.4632 ,0
SW-GW-2,68.3465,0.4610 ,0
SW-GW-2,68.3426,0.4591 ,0
SW-GW-2,68.3381,0.4572 ,0
SW-GW-2,68.3332,0.4553 ,0
SW-GW-2,68.3284,0.4536 ,0
SW-GW-2,68.3236,0.4523 ,1
SW-GW-2,68.3207,0.4513 ,0.5
SW-GW-2,68.3243,0.5094 ,9.5
SW-GW-2,68.3277,0.5164 ,0.5
SW-GW-2,68.3297,0.5158 ,0
SW-GW-2,68.3289,0.5104 ,0
SW-GW-2,68.3262,0.5021 ,0
SW-GW-2,68.3221,0.4924 ,0
SW-GW-2,68.3175,0.4826 ,0
SW-GW-2,68.3121,0.4734 ,0
SW-GW-2,68.3068,0.4655 ,0
SW-GW-2,68.3023,0.4591 ,0
SW-GW-2,68.2979,0.4537 ,0
SW-GW-2,68.2935,0.4494 ,0
SW-GW-2,68.2897,0.4461 ,0
SW-GW-2,68.2865,0.4440 ,0
SW-GW-2,68.285,0.4425 ,0
SW-GW-2,68.2843,0.4414 ,0
SW-GW-2,68.2875,0.4727 ,7
SW-GW-2,68.2908,0.4769 ,0
SW-GW-2,68.2922,0.4775 ,0
SW-GW-2,68.2928,0.4784 ,2.5
SW-GW-2,68.3025,0.6452 ,17
SW-GW-2,68.3091,0.6563 ,1
SW-GW-2,68.3136,0.6448 ,0
SW-GW-2,68.3148,0.6268 ,0.5
SW-GW-2,68.3145,0.6049 ,0
SW-GW-2,68.3119,0.5811 ,0
SW-GW-2,68.3181,0.6692 ,13.5
SW-GW-2,68.3239,0.6585 ,0
SW-GW-2,68.3278,0.6377 ,0
SW-GW-2,68.3438,1.3790 ,28
SW-GW-2,68.3669,1.7540 ,17
SW-GW-2,68.3822,1.4020 ,0
SW-GW-2,68.3906,1.1870 ,0
SW-GW-2,68.3944,1.0110 ,0
SW-GW-2,68.3957,0.8823 ,0
SW-GW-2,68.3968,0.7938 ,3.5
SW-GW-2,68.396,0.7221 ,0
SW-GW-2,68.3949,0.6674 ,0.5
SW-GW-2,68.3928,0.6233 ,0
SW-GW-2,68.3886,0.5858 ,0
SW-GW-2,68.3841,0.5543 ,0
SW-GW-2,68.3791,0.5285 ,0
SW-GW-2,68.3732,0.5075 ,0
SW-GW-2,68.3675,0.4911 ,0.5
SW-GW-2,68.3649,0.5086 ,6.5
SW-GW-2,68.3636,0.5042 ,1.5
SW-GW-2,68.3611,0.4979 ,0
SW-GW-2,68.3573,0.4904 ,0
SW-GW-2,68.3531,0.4828 ,0
SW-GW-2,68.3483,0.4753 ,0
SW-GW-2,68.3435,0.4686 ,0
SW-GW-2,68.3383,0.4626 ,0
SW-GW-2,68.3426,0.6176 ,16
SW-GW-2,68.3463,0.6326 ,2
SW-GW-2,68.3466,0.6264 ,1
SW-GW-2,68.3473,0.6133 ,1.5
SW-GW-2,68.3465,0.5952 ,1.5
SW-GW-2,68.3444,0.5736 ,0
SW-GW-2,68.3408,0.5514 ,0
SW-GW-2,68.3372,0.5305 ,0
SW-GW-2,68.3339,0.5115 ,0
SW-GW-2,68.3317,0.4954 ,0
SW-GW-2,68.329,0.4820 ,0
SW-GW-2,68.3253,0.4707 ,0
SW-GW-2,68.3208,0.4618 ,0
SW-GW-2,68.3158,0.4546 ,0
SW-GW-2,68.3166,0.4859 ,7.5
SW-GW-2,68.3195,0.4909 ,2.5
SW-GW-2,68.3229,0.4910 ,2
SW-GW-2,68.3244,0.4866 ,0
SW-GW-2,68.3246,0.4802 ,0
SW-GW-2,68.3343,0.6914 ,18.5
SW-GW-2,68.3558,1.3680 ,23.5
SW-GW-2,68.3734,1.2710 ,4
SW-GW-2,68.3844,1.1150 ,0
SW-GW-2,68.3896,0.9730 ,0.5
SW-GW-2,68.3916,0.8609 ,1.5
SW-GW-2,68.3907,0.7697 ,0
SW-GW-2,68.3889,0.7013 ,0
SW-GW-2,68.3859,0.6492 ,0
SW-GW-2,68.3825,0.6064 ,0
SW-GW-2,68.3782,0.5702 ,0
SW-GW-2,68.3733,0.5399 ,0.5
SW-GW-2,68.3689,0.5151 ,0
SW-GW-2,68.3694,0.5301 ,7
SW-GW-2,68.3919,6.5490 ,53.5
SW-GW-2,68.4154,3.3550 ,16
SW-GW-2,68.4305,1.9610 ,1
SW-GW-2,68.4386,1.5320 ,0
SW-GW-2,68.4412,1.3020 ,0
SW-GW-2,68.4403,1.0960 ,0
SW-GW-2,68.4394,0.9707 ,3.5
SW-GW-2,68.4423,0.9091 ,6.5
SW-GW-2,68.4434,0.8315 ,0
SW-GW-2,68.4674,11.0300 ,72
SW-GW-2,68.517,46.9800 ,169
SW-GW-2,68.5488,17.7000 ,3
SW-GW-2,68.5666,12.1500 ,0.5
SW-GW-2,68.5755,5.8990 ,0
SW-GW-2,68.5783,3.1970 ,0
SW-GW-2,68.5798,2.1260 ,3.5
SW-GW-2,68.6013,9.3400 ,55.5
SW-GW-2,68.615,4.9540 ,0
SW-GW-2,68.6206,2.8660 ,0
SW-GW-2,68.6337,3.5830 ,19.5
SW-GW-2,68.6725,38.9400 ,163
SW-GW-2,68.7185,23.3000 ,61.5
SW-GW-2,68.7497,14.9900 ,5.5
SW-GW-2,68.7764,12.1400 ,15.5
SW-GW-2,68.8132,12.7700 ,57.5
SW-GW-2,68.8353,10.1400 ,3
SW-GW-2,68.8677,11.6100 ,56.5
SW-GW-2,68.9006,12.1200 ,31.5
SW-GW-2,68.9265,9.4310 ,22
SW-GW-2,68.959,11.8500 ,47.5
SW-GW-2,68.9751,7.2320 ,0
SW-GW-2,68.9785,4.3100 ,0
SW-GW-2,68.9733,2.9480 ,1
SW-GW-2,68.9716,3.1420 ,13
SW-GW-2,68.9647,2.3080 ,0
SW-GW-2,68.9518,1.9540 ,0
SW-GW-2,68.9355,1.7230 ,0
SW-GW-2,68.9169,1.6030 ,0
SW-GW-2,68.8969,1.4770 ,0
SW-GW-2,68.8763,1.3820 ,0
SW-GW-2,68.8646,1.6450 ,12.5
SW-GW-2,68.8523,1.5100 ,0
SW-GW-2,68.8372,1.3930 ,0
SW-GW-2,68.8203,1.2880 ,0
SW-GW-2,68.8025,1.2000 ,1.5
SW-GW-2,68.7893,1.2400 ,8
SW-GW-2,68.8083,37.6500 ,167
SW-GW-2,68.8423,22.0900 ,59
SW-GW-2,68.8679,15.1300 ,10.5
SW-GW-2,68.8788,11.4900 ,0
SW-GW-2,68.8798,6.0150 ,0
SW-GW-2,68.889,6.2970 ,24.5
SW-GW-2,68.9123,11.7100 ,59.5
SW-GW-2,68.9215,7.7460 ,0
SW-GW-2,68.9193,4.4850 ,0
SW-GW-2,68.923,4.4240 ,17
SW-GW-2,68.9379,7.4470 ,33.5
SW-GW-2,68.9423,3.8330 ,0
SW-GW-2,68.9432,3.2610 ,9.5
SW-GW-2,68.9376,2.4490 ,0
SW-GW-2,68.9265,2.0960 ,0
SW-GW-2,68.9274,4.4460 ,25
SW-GW-2,68.9234,2.6300 ,0
SW-GW-2,68.9127,2.1610 ,0
SW-GW-2,68.8989,1.8550 ,0
SW-GW-2,68.8882,1.8670 ,7
SW-GW-2,68.8759,1.6720 ,0
SW-GW-2,68.8618,1.5560 ,0
SW-GW-2,68.847,1.4680 ,3
SW-GW-2,68.8309,1.3900 ,0
SW-GW-2,68.8136,1.3220 ,0
SW-GW-2,68.7961,1.2610 ,0
SW-GW-2,68.7787,1.2060 ,0
SW-GW-2,68.7614,1.1590 ,0
SW-GW-2,68.7443,1.1170 ,0
SW-GW-2,68.7277,1.0810 ,0
SW-GW-2,68.7113,1.0490 ,0
SW-GW-2,68.6955,1.0230 ,0
SW-GW-2,68.6805,1.0000 ,0
SW-GW-2,68.6664,0.9836 ,0
SW-GW-2,68.6209,0.9701 ,0
SW-GW-2,68.5872,0.9440 ,0
SW-GW-2,68.5691,1.1380 ,12
SW-GW-2,68.5559,1.1390 ,0
SW-GW-2,68.5439,1.1020 ,0
SW-GW-2,68.5328,1.0650 ,0
SW-GW-2,68.5228,1.0350 ,0
SW-GW-2,68.5139,1.0160 ,0
SW-GW-2,68.5051,1.0010 ,0
SW-GW-2,68.4968,0.9898 ,0
SW-GW-2,68.4894,0.9810 ,0
SW-GW-2,68.4832,0.9755 ,0
SW-GW-2,68.4776,0.9718 ,0
SW-GW-2,68.4726,0.9688 ,0
SW-GW-2,68.4679,0.9665 ,0
SW-GW-2,68.4637,0.9648 ,0
SW-GW-2,68.4604,0.9637 ,0
SW-GW-2,68.4572,0.9625 ,0
SW-GW-2,68.4539,0.9609 ,0
SW-GW-2,68.4508,0.9579 ,0
SW-GW-2,68.4479,0.9540 ,0
SW-GW-2,68.4457,0.9510 ,0
SW-GW-2,68.4433,0.9487 ,0
SW-GW-2,68.4412,0.9471 ,0
SW-GW-2,68.4386,0.9455 ,0
SW-GW-2,68.4361,0.9437 ,0
SW-GW-2,68.4337,0.9420 ,0
SW-GW-2,68.4319,0.9405 ,0
SW-GW-2,68.4301,0.9388 ,0
SW-GW-2,68.4285,0.9370 ,0
SW-GW-2,68.4272,0.9351 ,0
