Date,BOD(mg/L),SS(mg/L),T-N(mg/L),T-P(mg/L),Streamflow(CMS)
2013-02-21,0.5,0.8,4.614,0.046,0.321
2013-02-27,0.7,0.6,4.462,0.048,0.367
2013-03-07,0.3,1.6,4.17,0.042,0.409
2013-03-13,2.7,35.2,3.762,0.121,2.025
2013-03-21,0.3,3.4,4.033,0.054,1.645
2013-03-27,0.4,1.2,3.833,0.033,0.797
2013-04-04,1,0.7,3.275,0.034,0.412
2013-04-01,0.8,1.8,3.886,0.04,1.245
2013-04-18,0.8,2.4,3.237,0.037,0.545
2013-04-26,1.4,4,3.205,0.047,1.407
2013-05-09,1.5,4,2.9,0.035,0.364
2013-05-15,1.5,2.8,4.091,0.043,0.399
2013-05-23,1.1,5.2,3.355,0.054,0.407
2013-05-29,1.2,22.2,5.85,0.123,6.188
2013-06-07,0.3,1.7,5.153,0.051,0.451
2013-06-12,0.3,2,4.353,0.041,0.832
2013-06-02,0.8,15.6,5.594,0.152,8.98
2013-06-26,0.5,4.5,5.513,0.087,1.889
2013-07-04,0.3,2.6,4.418,0.083,0.76
2013-07-01,0.3,3.2,4.339,0.094,1.571
2013-07-18,0.3,2.5,4.264,0.098,1.407
2013-07-24,0.6,3.2,3.322,0.111,1.312
2013-08-22,1,4.2,2.214,0.056,0.22
2013-08-28,1.2,1.8,2.198,0.044,0.241
2013-09-05,0.3,2,2.29,0.048,0.315
2013-09-11,2.7,37.2,2.574,0.226,1.72
2013-09-26,0.7,0.8,3.106,0.055,0.492
2013-10-01,0.4,1.8,4.836,0.089,1.564
2013-10-17,0.3,0.4,4.853,0.056,0.647
2013-10-23,0.4,0.4,4.466,0.058,0.434
2013-10-31,0.8,0.8,4.591,0.038,0.323
2013-11-06,0.6,0.6,4.112,0.025,0.35
2013-11-14,0.5,0.6,4.172,0.025,0.3
2013-11-02,0.8,1.2,4.072,0.032,0.216
2013-11-28,0.6,0.6,4.365,0.039,0.464
2013-12-04,0.3,1,6.722,0.04,0.336
2013-12-12,0.8,0.4,4.601,0.039,0.517
2014-01-09,0.6,0.2,4.5,0.05,0.162
2014-01-15,0.6,0.4,5.17,0.036,0.112
2014-01-23,0.7,0.8,4.888,0.038,0.198
2014-02-05,0.3,0.2,4.593,0.038,0.199
2014-02-13,0.9,1,4.591,0.04,0.202
2014-02-19,0.4,0.2,7.424,0.037,0.159
2014-02-27,0.6,1.2,4.185,0.037,0.211
2014-03-05,0.3,0.2,4.147,0.043,0.228
2014-03-13,2.2,4.4,3.893,0.071,0.979
2014-03-19,0.9,1.4,3.776,0.031,0.334
2014-03-27,1,1.2,4.995,0.027,0.345
2014-04-03,0.4,2,3.807,0.029,0.592
2014-04-01,1.1,2.2,3.837,0.037,0.4
2014-04-16,1,2.4,3.526,0.033,0.273
2014-04-24,1.3,2.4,5.573,0.054,0.151
2014-05-14,1.5,4,3.102,0.05,0.13
2014-05-22,1.2,4.4,2.613,0.045,0.145
2014-05-28,1.3,3,2.054,0.037,0.307
2014-06-11,1.2,2,2.178,0.028,0.167
2014-06-19,0.7,3.6,1.58,0.04,0.082
2014-06-25,1.1,5.4,1.966,0.094,0.69
2014-07-04,1,4.2,1.306,0.051,0.43
2014-07-09,0.9,3.8,1.098,0.04,0.201
2014-07-17,0.6,2.6,1.014,0.038,0.044
2014-07-23,1.4,2.8,0.976,0.048,0.07
2014-08-21,1.4,47.2,5.306,0.263,34.344
2014-08-26,0.3,8.6,5.726,0.15,8.403
2014-09-04,1.2,1.2,4.873,0.093,1.434
2014-09-17,0.8,0.6,4.835,0.047,0.228
2014-09-26,0.7,5.6,6.198,0.108,3.012
2014-10-08,0.4,0.6,4.893,0.048,0.35
2014-10-15,0.4,0.6,4.815,0.044,0.342
2014-10-23,1,10.6,4.651,0.13,4.028
2014-10-29,1,0.8,6.276,0.058,0.868
2014-11-12,0.3,0.8,5.727,0.038,0.676
2014-11-02,1,0.6,5.359,0.034,0.417
2014-11-26,0.7,0.6,4.857,0.029,0.478
2014-12-04,0.3,0.4,4.842,0.027,0.323
2014-12-11,0.4,0.4,4.743,0.023,0.314
2015-01-08,0.4,0.4,5.389,0.032,0.168
2015-01-14,0.5,0.4,5.521,0.03,0.143
2015-01-22,1.1,1,4.987,0.037,0.218
2015-01-28,0.8,0.6,4.792,0.032,0.222
2015-02-05,0.3,0.4,4.752,0.031,0.17
2015-02-11,0.6,1,4.926,0.031,0.133
2015-03-04,0.7,1.4,5.429,0.028,0.246
2015-03-12,2,2.2,3.958,0.025,0.184
2015-03-18,1.9,5.2,4.683,0.038,0.237
2015-03-26,1,1.4,3.657,0.025,0.439
2015-04-08,0.5,2.4,3.056,0.027,0.518
2015-04-17,1,3.2,2.842,0.03,0.396
2015-04-03,1.2,3,2.685,0.02,0.382
2015-05-07,2.3,7.2,2.216,0.036,0.157
2015-05-14,0.8,3.2,2.27,0.015,0.144
2015-05-02,1.7,3.2,2.278,0.038,0.038
2015-05-29,0.8,5.8,2.275,0.03,0.039
2015-06-03,0.9,2.8,2.038,0.043,0.042
2015-06-11,1.1,2.8,1.829,0.036,0.056
2015-06-17,1.7,11.6,3,0.223,0.2
2015-06-25,1,3,1.889,0.033,0.215
2015-07-08,1.8,7.4,2.458,0.074,1.318
2015-07-16,0.6,2.8,2.341,0.036,0.191
2015-07-22,1,3,2.272,0.028,0.205
2015-08-02,0.6,3.4,1.414,0.026,0.061
2015-08-26,2.3,2.8,1.425,0.046,0.38
2015-09-04,0.7,2.2,1.154,0.041,0.042
2015-09-09,0.7,2.8,0.879,0.022,0.106
2015-09-17,0.3,0.8,0.889,0.027,0.05
2015-09-23,1.5,1.8,0.758,0.027,0.038
2015-10-08,0.6,1.8,1.148,0.017,0.086
2015-10-14,0.7,0.8,1.222,0.024,0.069
2015-10-22,0.4,0.6,1.189,0.022,0.048
2015-10-28,0.3,0.8,1.195,0.019,0.047
2015-11-05,0.6,0.6,1.209,0.019,0.046
2015-11-11,1.3,2.2,1.261,0.02,0.103
2015-11-19,1.6,0.3,1.563,0.024,0.254
2015-11-25,0.7,0.6,1.897,0.02,0.193
2015-12-03,0.5,0.8,2.491,0.027,0.147
2015-12-09,0.5,0.4,2.069,0.015,0.118
2016-01-13,0.3,0.6,2.373,0.012,0.065
2016-01-21,0.3,0.4,2.681,0.012,0.054
2016-01-28,0.4,1.2,2.777,0.011,0.044
2016-02-04,0.5,0.4,2.656,0.019,0.047
2016-02-17,0.3,1.2,3.845,0.022,0.214
2016-02-25,1.3,3.2,3.385,0.009,0.125
2016-03-09,0.8,0.6,6.17,0.016,0.579
2016-03-17,1.2,1,5.171,0.009,0.215
2016-03-23,1,1.6,4.379,0.014,0.175
2016-03-31,0.5,0.6,4.459,0.01,0.117
2016-04-06,0.8,3,3.874,0.008,0.105
2016-04-15,1,2,4.445,0.012,0.566
2016-04-02,0.9,2.2,6.059,0.016,0.744
2016-04-28,0.5,2,6.744,0.025,0.908
2016-05-12,1.2,2,5.166,0.021,0.4
2016-05-18,0.5,3.4,5.048,0.017,0.117
2016-05-26,1.1,2.6,4.199,0.016,0.215
2016-06-09,0.3,1.6,4.922,0.01,0.032
2016-06-16,0.9,2.4,3.593,0.018,0.146
2016-06-22,0.7,2.6,3.079,0.013,0.15
2016-06-03,0.3,1.2,2.536,0.011,0.048
2016-07-06,1.8,113,5.787,0.286,58.597
2016-07-14,0.5,1.8,9.342,0.043,0.685
2016-07-02,1.1,2.4,7.383,0.058,0.462
2016-08-18,0.5,2.4,3.664,0.042,0.058
2016-08-25,0.3,1.6,2.479,0.057,0.044
2016-09-07,0.5,1.2,2.551,0.043,0.326
2016-09-22,0.6,0.4,3.922,0.039,0.509
2016-09-28,0.5,1.6,3.368,0.042,0.344
2016-10-07,0.7,1.8,3.296,0.048,0.517
2016-10-12,0.3,0.4,4.837,0.042,0.662
2016-10-02,0.4,0.4,4.623,0.031,0.255
2016-10-26,0.7,0.3,4.202,0.045,0.588
2016-11-09,0.5,0.3,4.448,0.027,0.191
2016-11-17,0.3,0.3,4.394,0.023,0.157
2016-11-23,0.7,0.8,4.289,0.024,0.186
2016-12-08,0.9,0.3,4.494,0.02,0.137
2016-12-14,0.5,0.3,4.436,0.016,0.146
2017-01-12,0.4,0.4,5.94,0.016,0.243
2017-01-18,0.6,1.2,5.944,0.018,0.187
2017-02-09,0.5,1.4,5.863,0.012,0.151
2017-02-15,0.9,0.6,5.903,0.015,0.112
2017-02-23,1.4,8,4.772,0.059,0.785
2017-03-09,0.8,0.3,5.152,0.014,0.219
2017-03-22,0.9,1,4.815,0.017,0.189
2017-03-03,0.9,2,4.624,0.014,0.373
2017-04-05,1,2.8,4.5,0.015,0.388
2017-04-13,0.6,2.2,5.885,0.033,1.963
2017-04-19,0.5,3.6,5.6,0.038,2.297
2017-04-27,0.6,2.7,5.74,0.02,0.558
2017-05-11,0.7,1,4.976,0.014,0.114
2017-05-18,0.4,2,4.95,0.014,0.15
2017-05-24,0.8,1.8,4.721,0.02,0.097
2017-06-09,0.6,2.6,3.404,0.036,0.253
2017-06-14,1.1,3.8,3.843,0.028,0.136
2017-06-22,0.8,3.4,3.625,0.02,0.045
2017-06-28,1.7,128.8,3.026,0.055,0.068
2017-07-06,0.4,15,6.666,0.115,2.549
2017-07-12,0.8,15.4,6.117,0.116,2.135
2017-07-02,0.5,5.6,6.665,0.06,1.581
2017-08-17,1.9,138.7,4.295,0.254,24.863
2017-08-24,0.6,11.6,5.986,0.105,3.416
2017-08-03,0.3,7.2,6.278,0.086,1.337
2017-09-07,0.7,1.6,5.244,0.047,0.34
2017-09-13,0.3,4.8,4.814,0.072,2.027
2017-09-21,0.6,1.6,5.506,0.042,0.458
2017-09-27,0.9,11.8,3.315,0.049,1.027
2017-10-13,0.7,3.6,4.74,0.066,0.876
2017-10-18,0.3,1.4,5.077,0.03,0.36
2017-11-08,0.4,1,5.488,0.02,0.194
2017-11-16,0.9,0.3,5.54,0.024,0.157
2017-11-22,0.5,0.8,4.996,0.028,0.159
2017-11-03,0.4,5.4,5.619,0.03,0.181
2017-12-06,0.8,1.2,6.313,0.019,0.123
2017-12-14,0.6,0.6,5.649,0.017,0.107
2017-12-02,0.5,0.8,6.029,0.018,0.084
2018-01-17,0.7,1.8,6.117,0.031,0.132
2018-01-25,0.5,2.8,6.64,0.024,0.085
2018-02-07,0.4,0.6,5.072,0.02,0.053
2018-02-22,0.4,1.4,5.096,0.012,0.096
2018-03-07,1.3,5.2,5.348,0.048,0.562
2018-03-15,1.7,75.6,5.29,0.038,0.625
2018-03-21,0.7,6.8,6.821,0.029,1.466
2018-03-29,0.8,7.6,6.044,0.024,0.474
2018-04-04,3,31.2,4.965,0.053,0.832
2018-04-18,0.5,22.2,6.853,0.048,1.699
2018-04-26,0.7,14.6,6.732,0.063,3.124
2018-05-01,0.3,2.4,6.955,0.03,1.001
2018-05-17,0.8,7.2,6.706,0.055,0.689
2018-05-24,0.8,8,6.308,0.058,0.736
2018-06-08,0.5,1.2,6.056,0.025,0.069
2018-06-14,0.5,2.6,5.135,0.032,0.107
2018-06-21,0.4,12.2,3.888,0.018,0.118
2018-06-27,3,61.2,3.769,0.3,1.772
2018-07-11,0.7,14.4,6.986,0.072,1
2018-07-19,1.1,2.2,5.927,0.03,0.124
2018-07-25,0.4,0.3,5.274,0.043,0.028
2018-08-17,0.7,0.3,3.122,0.027,0.074
2018-08-22,0.8,2.4,2.411,0.019,0.058
2018-08-03,0.4,6.8,5.831,0.138,3.463
2018-09-05,0.9,12.2,4.841,0.15,9.154
2018-09-13,0.6,0.6,6.375,0.043,0.601
2018-09-19,0.9,2.4,4.815,0.03,0.452
2018-10-05,2.8,17.6,4.048,0.047,1.069
2018-10-11,0.4,2.6,5.655,0.05,0.909
2018-10-18,0.7,6.2,5.891,0.026,0.499
2018-10-24,0.5,6.4,5.861,0.037,0.27
2018-11-08,1.4,4.8,4.644,0.032,0.728
2018-11-14,0.3,8.2,5.404,0.035,0.577
2018-11-22,0.3,1.8,5.206,0.019,0.316
2018-11-28,0.3,6.8,5.365,0.022,0.361
2018-12-06,0.6,4,4.893,0.035,0.575
2018-12-12,1.3,12.8,4.568,0.092,0.767
2018-12-02,0.5,2.4,5.403,0.022,0.246
2019-01-17,0.3,1.6,5.074,0.03,0.195
2019-01-23,0.4,2,5.481,0.026,0.139
2019-02-14,0.4,2.4,5.746,0.025,0.153
2019-02-02,3.9,62,4.712,0.268,0.517
2019-02-28,0.5,2.8,4.608,0.024,0.317
2019-03-06,0.6,69.5,4.564,0.109,0.32
2019-03-14,0.7,4.6,4.28,0.016,0.306
2019-03-02,0.7,4.4,4.219,0.021,0.243
2019-03-28,0.8,11.4,4.193,0.033,0.389
2019-04-03,0.6,3,4.185,0.025,0.249
2019-04-11,3,152,3.738,0.266,1.982
2019-04-17,0.8,38.3,5.104,0.059,0.604
2019-04-25,2,46,3.449,0.079,1.016
2019-05-09,1.1,78.4,3.714,0.089,0.117
2019-05-16,0.6,3.2,3.583,0.031,0.019
2019-05-22,1.1,13.6,3.281,0.05,0.201
2019-05-03,0.9,10.6,2.804,0.049,0.367
2019-06-13,0.7,5,3.155,0.042,0.235
2019-06-19,0.6,15,3.406,0.066,0.302
2019-06-27,2.7,102.5,2.77,0.268,2.69
2019-07-03,0.6,5.2,3.744,0.068,0.47
2019-07-11,1.1,3,3.011,0.04,0.258
2019-07-17,0.3,20.2,2.773,0.051,0.33
2019-07-25,0.4,5.6,5.187,0.073,1.005
2019-08-22,0.3,12,3.709,0.058,0.336
2019-08-28,1,19.6,3.087,0.115,1.808
2019-09-05,0.8,8.8,2.85,0.083,1.02
2019-09-18,0.5,2.8,4.559,0.057,0.513
2019-09-26,0.3,9,5.85,0.083,1.509
2019-10-01,0.8,225.3,7.282,0.141,1.293
2019-10-17,0.5,7.8,7.235,0.054,0.505
2019-10-23,0.4,35.6,6.573,0.062,0.314
2019-11-06,0.5,4.4,6.168,0.03,0.231
2019-11-14,0.4,1.4,5.955,0.032,0.279
2019-11-02,0.5,2.8,5.484,0.039,0.441
2019-11-28,0.3,3,5.826,0.033,0.269
2019-12-04,0.5,3.8,5.255,0.033,0.242
2019-12-12,0.3,4.2,6.103,0.044,0.224
2020-01-16,0.4,3,7.566,0.06,0.422
2020-01-22,0.8,2.4,6.619,0.04,0.344
2020-01-31,0.4,1.8,6.2,0.04,0.34
2020-02-05,0.3,0.6,7.504,0.045,0.238
2020-02-13,2.5,24.8,4.861,0.121,0.811
2020-02-27,0.8,10.2,4.564,0.065,1.935
2020-03-11,0.8,3.4,4.992,0.043,0.729
2020-03-19,0.9,3,5.074,0.023,0.389
2020-03-25,0.9,1.8,4.961,0.019,0.283
2020-04-09,0.8,13,4.283,0.032,0.147
2020-04-16,0.8,2.8,4.139,0.031,0.137
2020-04-23,0.9,4.4,3.78,0.034,0.255
2020-05-08,1.1,5.2,3.207,0.038,0.077
2020-05-13,1.1,7.6,3.64,0.047,0.275
2020-05-21,0.9,17.2,6.112,0.115,2.26
2020-05-27,0.8,3.6,5.353,0.053,0.507
2020-06-04,0.7,2.4,4.401,0.054,0.126
2020-06-01,1.3,2,4.536,0.049,0.088
2020-06-18,1.1,9.2,3.582,0.058,0.286
2020-06-24,0.9,4.6,2.88,0.067,0.214
2020-07-09,0.7,1.8,4.13,0.052,0.506
2020-07-16,0.8,4.8,7.539,0.1,1.749
2020-07-23,2.2,79.6,4.196,0.212,3.858
